node_id,system,concept,betweenness_centrality
N_QM_VVV_00021,VVV,Registration Lock / Registration-Lock Operator,0.00469000
N_QM_VVV_00027,VVV,Registration Self-Completion Matrix / Act-Result Registration Identity,0.00265404
N_QM_VVV_00013,VVV,Extrinsic Registration Certification Phase,0.00152448
N_QM_VVV_00014,VVV,Extrinsic Registration-Certification Operator `Ĉ_ext`,0.00145596
N_QM_VVV_00036,VVV,Null Registering-System Event / Registration Non-Engagement,0.00137888
N_QM_VVV_00023,VVV,Registration Lock `V̂_yava` / Irreversible Registration Locking,0.00128134
N_QM_VVV_00033,VVV,Self-Certifying Registration Operator / Registration Regress Stopper,0.00125850
N_QM_00095,QM,Decoherence & Environment as Measurement,0.00110482
N_QM_VVV_00029,VVV,Retroactive Registration Override / Formal Measurement Invalidation,0.00109625
N_QM_VVV_00054,VVV,Pre-Measurement Registration Indeterminacy / Structured Registration-Doubt State,0.00108150
N_QM_VVV_00044,VVV,Pre-Symbolic Stratum / Formalism-External Physical Event,0.00106961
N_QM_VVV_00042,VVV,Tripartite Registration Validity Matrix / Strict Apparatus Axiom,0.00100823
N_QM_00019,QM,Measurement (Physical Act),0.00097064
N_QM_VVV_00011,VVV,Dual-Phase Registration Certification / Formal Validity Location,0.00096493
N_QM_00033,QM,No-Result Measurement (Null Measurement),0.00088404
N_QM_00094,QM,Heisenberg Cut,0.00078793
N_QM_VVV_00001,VVV,Contrapositive Quantum Evidence / Purely Contrastive Quantum Evidence Structure,0.00072941
N_QM_00022,QM,Post-Measurement State Update,0.00069563
N_QM_VVV_00015,VVV,Conditionally Updated State `ρ̃`,0.00064138
N_QM_VVV_00020,VVV,Validated Absence Registration / Conditioned Null Registration,0.00059380
N_QM_VVV_00038,VVV,Measured-but-Unregistered K-State,0.00056526
N_QM_00020,QM,von Neumann Measurement Model,0.00044535
N_QM_VVV_00048,VVV,Limit-Faculty Registration / Transcendental Registration Mode,0.00042537
N_QM_VVV_00032,VVV,Registration Error / Bhrānti Status,0.00039397
N_QM_VVV_00043,VVV,Trairūpya Apparatus Validity Conditions / Validity Tensor `𝕍_tri`,0.00033687
N_QM_VVV_00035,VVV,Primary Registration Closure / Regress-Terminating Closure,0.00033116
N_QM_VVV_00028,VVV,Act-Result Tensor / Irreducible Event Tensor `𝒯_act-res`,0.00032545
N_QM_00025,QM,[SUY DIỄN] Density Matrix & Mixed States,0.00030261
N_QM_VVV_00012,VVV,Intrinsic Causal Triggering Phase,0.00028834
N_QM_00021,QM,System–Meter Coupling,0.00027930
N_QM_VVV_00045,VVV,Pre-Symbolic Event `ε(M)`,0.00026360
N_QM_VVV_00024,VVV,Registration-Locking Boundary in Delayed-Choice Erasure,0.00025693
N_QM_VVV_00030,VVV,Invalidation Operator `Ô_bhranti` / Registration Override Operator,0.00025408
N_QM_00005,QM,Superposition,0.00016558
N_QM_VVV_00034,VVV,Reflexive Registration Operator `R̂_svasa`,0.00014417
N_QM_VVV_00016,VVV,Certified Registration State / Validated Registration State `ρ_certified`,0.00013703
N_QM_VVV_00025,VVV,Intrinsic Relational Binding / Entanglement - registration Architecture,0.00013703
N_QM_VVV_00046,VVV,Symbolization Operator `Λ`,0.00013132
